id,name,lat,lon,parameters
6359,"IHBAS, Dilshad Garden,New Delhi - CPCB",28.6811736,77.3025234,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
6924,"Indirapuram, Ghaziabad - UPPCB",28.646233,77.358075,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
6929,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
6931,"Dwarka-Sector 8, Delhi - DPCC",28.5710274,77.0719006,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
6932,"Alipur, Delhi - DPCC",28.815329,77.15301,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
6934,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
6938,"Vivek Vihar, Delhi - DPCC",28.672342,77.31526,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
6957,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
6960,"Patparganj, Delhi - DPCC",28.623748,77.287205,"co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
6980,"Sector-1, Noida - UPPCB",28.589247,77.321962,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
6986,"Knowledge Park - V, Greater Noida - UPPCB",28.557054,77.453663,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
